 r,pw,pg,C,sg,R^2/t
7351.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,6005.1137777777776
7751.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,6676.3671111111107
8166.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,7410.3728888888891
8596.59961,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,8211.2808888888885
9041.59961,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,9083.3911111111120
9501.59961,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,10031.154666666667
9976.59961,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,11059.170666666667
10466.5996,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,12172.189333333334
10976.5996,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,13387.304000000000
13361.5996,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,19836.928000000000
17621.5996,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,34502.307555555555
23756.5996,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,62708.444444444445
31766.5996,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,112124.09600000001
41651.6016,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,192761.77066666668
53411.6016,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,316977.69244444446
67046.6016,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,499471.87199999997
82556.6016,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,757288.04977777775
99941.6016,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,1109813.7031111112
